"listing_value","tweets_Name","tweets_Date","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_Text","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Dec 31, 2018","125","223","1.1K","https://pbs.twimg.com/media/DvyAmLIXcAg_8Vx?format=jpg&name=small","Chicago murder rate drops for second year in a row https://cnn.it/2GOeIJe","","","1"
"1","CNN Breaking News","Dec 31, 2018","150","323","421","https://pbs.twimg.com/media/DvxotzOX0AIEosf?format=jpg&name=small","2018 was one investors would rather forget. US stocks had their worst year in a decade and the Dow and S&P 500 had their worst December since 1931. https://cnn.it/2GPfqpD","","","1"
"1","CNN Breaking News","Dec 31, 2018","54","107","314","https://pbs.twimg.com/media/Dvwya3QWsAQY4fe?format=jpg&name=small","Colorado prosecutors file five charges against Patrick Frazee in the death of Kelsey Berreth, his missing fiancee and mother of his 1-year-old daughter https://cnn.it/2TjbnDq","","","1"
"1","CNN Breaking News","Dec 31, 2018","283","2K","1.6K","https://pbs.twimg.com/media/DvwX1ZyWkAEO7qw?format=jpg&name=small","Authorities are hunting for a man who shot into a car as it left a Houston-area Walmart Sunday, killing 7-year-old Jazmine Barnes. The suspect is described as a white male in his 40s who fled the scene in a red truck. https://cnn.it/2ApDIRe","","","1"
"1","CNN Breaking News","Dec 31, 2018","525","446","1.3K","https://pbs.twimg.com/media/Dvv6wWqX0AAhGbR?format=jpg&name=small","Sen. Elizabeth Warren launches a presidential exploratory committee ahead of an expected run for the Democratic nomination in 2020 https://cnn.it/2EYmNIQ","","","1"
"1","CNN Breaking News","Dec 31, 2018","32","105","175","https://pbs.twimg.com/media/Dvv0X8kWoAA0h4m?format=jpg&name=small","Vatican spokesman Greg Burke and his deputy, Paloma Garcia Ovejero, have resigned, according to an official statement https://cnn.it/2EXM1b5","","","1"
"1","CNN Breaking News","Dec 31, 2018","9","103","151","https://pbs.twimg.com/media/Dvv0N8mXQAAh30Z?format=jpg&name=small","Tropical depression Usman's toll in the Philippines climbs to 68 people killed, the national disaster agency says https://cnn.it/2VsNdIu","","","1"
"1","CNN Breaking News","Dec 31, 2018","17","65","111","https://pbs.twimg.com/media/Dvvs6n8X0AARYr-?format=jpg&name=small","Search and rescue efforts are ongoing after a suspected gas explosion at an apartment building in Magnitogorsk, Russia. State media reports at least four people have died and dozens are missing. https://cnn.it/2LHjeYS","","","1"
"1","CNN Breaking News","Dec 31, 2018","27","166","263","https://pbs.twimg.com/card_img/1335682985027391492/VxktqmAl?format=jpg&name=small","At least two people were killed and 23 wounded in an explosion outside a shopping mall in the southern Philippines, officials said.","https://pbs.twimg.com/card_img/1335682985027391492/VxktqmAl?format=jpg&name=small","https://t.co/ybnacfPF3o?amp=1","1"
"1","2 dead, 23 wounded in blast outside Philippines shopping mall","","27","166","263","https://pbs.twimg.com/card_img/1335682985027391492/VxktqmAl?format=jpg&name=small","At least two people were killed and 23 wounded in an explosion outside a shopping mall in the southern Philippines, officials said.","https://pbs.twimg.com/card_img/1335682985027391492/VxktqmAl?format=jpg&name=small","https://t.co/ybnacfPF3o?amp=1","1"
