"listing_value","tweets_Name","tweets_Date","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Text","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Dec 31, 2013","85","131","96","Utah asks Supreme Court to block same-sex marriage. http://cnn.it/1clak8d","","","","1"
"1","CNN Breaking News","Dec 31, 2013","48","177","102","Catholic groups ask Supreme Court to delay Obamacare mandate.","","","","1"
"1","CNNPolitics - Political News, Analysis and Opinion","","48","177","102","Catholic groups ask Supreme Court to delay Obamacare mandate.","","","","1"
"1","Politics at CNN has news, opinion and analysis of American and global politics Find news and video about elections, the White House, the U.N and much more.","","48","177","102","Catholic groups ask Supreme Court to delay Obamacare mandate.","","","","1"
"1","cnn.com","","48","177","102","Catholic groups ask Supreme Court to delay Obamacare mandate.","","","","1"
"1","CNN Breaking News","Dec 31, 2013","59","589","242","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","","","","1"
"1","Obit: RIP, light bulb","","59","589","242","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","","","","1"
"1","It lit up the world and showed us all our way. It served presidents, princes, and paupers alike. RIP, traditional light bulb.","","59","589","242","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","","","","1"
"1","cnn.com","","59","589","242","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","","","","1"
"1","CNN Breaking News","Dec 31, 2013","138","442","217","More than 2 million people will have health insurance under Obamacare at the start of 2014. http://cnn.it/1cUL6Uu","","","","1"
"1","CNN Breaking News","Dec 31, 2013","90","443","141","Did you give someone a Target gift card for the holidays? It may not be activated.","","","","1"
"1","Target's latest holiday shopping problem","","90","443","141","Did you give someone a Target gift card for the holidays? It may not be activated.","","","","1"
"1","Target confirms that some gift cards aren't working properly, but it's not related to the recent credit card breach.","","90","443","141","Did you give someone a Target gift card for the holidays? It may not be activated.","","","","1"
"1","money.cnn.com","","90","443","141","Did you give someone a Target gift card for the holidays? It may not be activated.","","","","1"
"1","CNN Breaking News","Dec 31, 2013","129","270","75","Journalist tries to sneak into Michael Schumacher's hospital room where the F1 driver is being treated for a severe brain injury....","","","","1"
"1","CNN Breaking News","Dec 31, 2013","6","172","50","Court orders arrest of apparel factory owner, five others, in deadly blaze http://cnn.it/Kh3YB4","","","","1"
