"listing_value","tweets_Name","tweets_Date","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_Text","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","May 4, 2019","203","287","521","https://pbs.twimg.com/media/D5wp4eSWsAEoYPV?format=jpg&name=small","The Kentucky Derby disqualifies the first-place finishing horse Maximum Security, making Country House the winner https://cnn.it/2YbN7Wf","","","1"
"","CNN Breaking News","May 4, 2019","141","146","353","https://pbs.twimg.com/media/D5wiLZkWAAALRpK?format=jpg&name=small","Maximum Security, ridden by Luis Saez, finished first in a rainy race to win the 145th Kentucky Derby https://cnn.it/2YbN7Wf","","","1"
"","CNN Breaking News","May 4, 2019","52","149","414","https://pbs.twimg.com/media/D5weesuXoAEDt-_?format=jpg&name=small","Rachel Held Evans, a New York Times best-selling author, died Saturday morning at age 37, according to a blog her husband maintained on her website https://cnn.it/2GQS6Es","","","1"
"","CNN Breaking News","May 4, 2019","41","67","170","https://pbs.twimg.com/media/D5vrBb-W4AAzp9u?format=jpg&name=small","Wyoming Sen. Mike Enzi announced he is not running for re-election and will retire at the end of his current term in office https://cnn.it/2VgyNPc","","","1"
"","CNN Breaking News","May 4, 2019","17","81","164","https://pbs.twimg.com/media/D5vmetFXoAAzqyA?format=jpg&name=small","A search is underway for two people who are missing after their helicopter crashed near Kent Island, Maryland, the US Coast Guard and local officials say https://cnn.it/2PLe3sQ","","","1"
"","CNN Breaking News","May 4, 2019","125","601","464","https://pbs.twimg.com/media/D5uPnLvXsAAbb-4?format=jpg&name=small","Almost 12 million pounds of Tyson chicken strips have been recalled because they might be contaminated with pieces of metal, federal food safety officials say https://cnn.it/305kImu","","","1"
"","CNN Breaking News","May 4, 2019","139","239","276","https://pbs.twimg.com/media/D5uJMNYXsAAVzOO?format=jpg&name=small","Approximately 90 rockets have been fired by Gaza militants towards Israel in the space of an hour, according to the Israel Defense Forces https://cnn.it/2VeUj6P","","","1"
"","CNN Breaking News","May 4, 2019","28","138","196","https://pbs.twimg.com/media/D5uCMb-X4AALfEp?format=jpg&name=small","An explosion at an Illinois silicone plant has left four people injured and three others unaccounted for, authorities say https://cnn.it/2VihQ6P","","","1"
"","CNN Breaking News","May 4, 2019","357","785","1.9K","https://pbs.twimg.com/media/D5t5OgQX4AE39hY?format=jpg&name=small","YouTube singer Austin Jones has been sentenced to 10 years in prison for asking underage girls to send him sexually explicit videos of themselves
https://cnn.it/2VJcVv4","","","1"
"","CNN Breaking News","May 4, 2019","123","667","762","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","A large commercial jet went into the St. Johns River, Jacksonville Mayor Lenny Curry said on Twitter.","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","https://t.co/MHNW6g4ibb?amp=1","1"
"","A Boeing 737 coming from Guantanamo Bay slid off the runway and fell into St. Johns River in...","","123","667","762","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","A large commercial jet went into the St. Johns River, Jacksonville Mayor Lenny Curry said on Twitter.","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","https://t.co/MHNW6g4ibb?amp=1","1"
"","A Boeing 737 plane arriving from Guantanamo Bay in Cuba went off the runway into the St. Johns River in Florida on Friday night, Jacksonville Mayor Lenny Curry said.","","123","667","762","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","A large commercial jet went into the St. Johns River, Jacksonville Mayor Lenny Curry said on Twitter.","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","https://t.co/MHNW6g4ibb?amp=1","1"
"","cnn.com","","123","667","762","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","A large commercial jet went into the St. Johns River, Jacksonville Mayor Lenny Curry said on Twitter.","https://pbs.twimg.com/card_img/1335569567322492929/y2MtaLTj?format=jpg&name=small","https://t.co/MHNW6g4ibb?amp=1","1"
"","CNN Breaking News","May 4, 2019","28","64","148","https://pbs.twimg.com/media/D5rz-R8XsAASBju?format=jpg&name=small","Eight storm-related deaths were reported across the United States this week https://cnn.it/2DOkNRX","","","1"
"","CNN Breaking News","May 3, 2019","197","308","409","https://pbs.twimg.com/media/D5rXf2mW0AIvkSu?format=jpg&name=small","Former White House chief of staff John Kelly joins the board of directors for the parent company of Comprehensive Health Services, which operates shelters for unaccompanied migrant children https://cnn.it/2IYHR4K","","","1"
"","CNN Breaking News","May 3, 2019","65","158","347","https://pbs.twimg.com/media/D5qhatNWAAAaEK3?format=jpg&name=small","The family of a woman shot and killed by a Minneapolis police officer has reached a $20 million settlement with the city, the mayor says https://cnn.it/2vBS6Db","","","1"
"","CNN Breaking News","May 3, 2019","49","158","326","https://pbs.twimg.com/media/D5pv7F0W0AEjfPu?format=jpg&name=small","Truck driver Rogel Lazaro Aguilera-Mederos, age 23, is charged with four counts of vehicular homicide and 36 other counts in last week's massive pileup outside Denver https://cnn.it/2WmMYhW","","","1"
"","CNN Breaking News","May 3, 2019","30","258","428","https://pbs.twimg.com/media/D5oYME5W4AAGt91?format=jpg&name=small","The strongest tropical cyclone to hit India in 20 years makes landfall, killing at least two people and lashing the country's east coast with ferocious winds and torrential downpours. https://cnn.it/2Jdbiz2","","","1"
"","CNN Breaking News","May 3, 2019","97","102","331","https://pbs.twimg.com/media/D5m3rjNWAAAb8J_?format=jpg&name=small","The Florida Legislature passed a bill prohibiting so-called sanctuary cities in the state https://cnn.it/2DJz9mo","","","1"
"","CNN Breaking News","May 2, 2019","169","1.4K","2.8K","https://pbs.twimg.com/media/D5mRzX8W4AAt2Mi?format=jpg&name=small","Peter Mayhew, the actor who originally portrayed Chewbacca in the ""Star Wars"" films, has died https://cnn.it/2JcHrHh","","","1"
"","CNN Breaking News","May 2, 2019","27","154","245","https://pbs.twimg.com/media/D5mQ1MfX4AEWz7e?format=jpg&name=small","A Turkish citizen wounded in the Christchurch, New Zealand, terror attack has died, raising the death toll from the March attack to 51 https://cnn.it/2V85YUS","","","1"
"","CNN Breaking News","May 2, 2019","117","877","1.2K","https://pbs.twimg.com/media/D5mPN1TXoAAx4EG?format=jpg&name=small","Five executives at a pharmaceutical company were found guilty on federal racketeering charges for bribing doctors to prescribe a version of the synthetic opioid fentanyl to people who didn't need it https://cnn.it/2VbYW1x","","","1"
"","CNN Breaking News","May 2, 2019","89","135","330","https://pbs.twimg.com/media/D5ljsBEWsAIMGJU?format=jpg&name=small","Democratic Baltimore Mayor Catherine Pugh resigns amid an ongoing scandal over sales of a children's book she authored https://cnn.it/2vBIw32","","","1"
"","CNN Breaking News","May 2, 2019","76","102","187","https://pbs.twimg.com/media/D5lbxMkW0AEawCk?format=jpg&name=small","Several people are missing and one is dead after a raft overturned on the Rio Grande during an attempt by smugglers to get migrants from Mexico into the United States, officials say https://cnn.it/2VgR52U","","","1"
"","CNN Breaking News","May 2, 2019","170","363","891","https://pbs.twimg.com/media/D5lLcpAXkAI-KS5?format=jpg&name=small","Facebook bans Nation of Islam leader Louis Farrakhan, InfoWars' Alex Jones and other high-profile people from its platforms https://cnn.it/2UWILQL","","","1"
"","CNN Breaking News","May 2, 2019","126","102","386","https://pbs.twimg.com/media/D5k576iWAAAJs77?format=jpg&name=small","President Trump says economic commentator Stephen Moore is out as a candidate for the Federal Reserve Board https://cnn.it/2UVQYo3","","","1"
"","CNN Breaking News","May 2, 2019","20","85","237","https://pbs.twimg.com/media/D5k2iWRXsAAckHO?format=jpg&name=small","Ugandan politician Bobi Wine is granted bail after spending several nights in a maximum security prison on charges stemming from a social media tax protest https://cnn.it/2J9x5I1","","","1"
"","CNN Breaking News","May 2, 2019","41","281","513","https://pbs.twimg.com/media/D5kPGhIW4AQldWa?format=jpg&name=small","Tropical Cyclone Fani is barreling toward 100 million people and is expected to make landfall Friday as India's worst cyclone in nearly five years https://cnn.it/2ZSuPLi","","","1"
"","CNN Breaking News","May 1, 2019","41","138","189","https://pbs.twimg.com/media/D5fa52YWAAIKjvX?format=jpg&name=small","French authorities fire tear gas at crowds as violent scuffles with May Day protesters break out in Paris
https://cnn.it/2vy2jAC","","","1"
"","CNN Breaking News","May 1, 2019","131","80","257","https://pbs.twimg.com/media/D5fG0hPWwAAEgVh?format=jpg&name=small","Attorney General William Barr testifies before the Senate Judiciary Committee and faces questions for the first time since the release of the Mueller report. Follow live updates: https://cnn.it/2Wgo9Ep","","","1"
"","CNN Breaking News","May 1, 2019","65","228","539","https://pbs.twimg.com/media/D5ehXLrW0AAGQcN?format=jpg&name=small","Wikileaks founder Julian Assange is sentenced to 50 weeks in a British prison after he was found guilty of violating his bail conditions https://cnn.it/2XXRrIk","","","1"
"","CNN Breaking News","May 1, 2019","88","361","287","https://pbs.twimg.com/media/D5egKxeWsAETUrj?format=jpg&name=small","South African Olympic champion Caster Semenya loses appeal against rules designed to limit testosterone levels in female athletes https://cnn.it/2LbhOci","","","1"
"","CNN Breaking News","Apr 30, 2019","96","151","761","https://pbs.twimg.com/media/D5cFMGCX4AMtYfh?format=jpg&name=small","James Holzhauer just won his 19th ""Jeopardy!"" game https://cnn.it/2Y06DVv","","","1"
"","CNN Breaking News","Apr 30, 2019","134","705","555","https://pbs.twimg.com/media/D5cDzBdXsAM3w3S?format=jpg&name=small","Two people are dead and four are injured after a shooting on the campus of the University of North Carolina at Charlotte, authorities say https://cnn.it/2GKp09N","","","1"
"","CNN Breaking News","Apr 30, 2019","84","494","335","https://pbs.twimg.com/media/D5b1_QzWAAABvPR?format=jpg&name=small","At least three people are shot and one person is in custody after an incident on the campus of the University of North Carolina at Charlotte, according to a city official https://cnn.it/2GKp09N","","","1"
"","CNN Breaking News","Apr 30, 2019","75","157","350","https://pbs.twimg.com/media/D5b13u-XkAYoyxF?format=jpg&name=small","A jury has found a former Minneapolis police officer guilty of third-degree murder and manslaughter in the 2017 shooting death of an Australian woman https://cnn.it/2UMWRUN","","","1"
"","CNN Breaking News","Apr 30, 2019","82","386","390","https://pbs.twimg.com/media/D5btxbAWkAUjix1?format=jpg&name=small","At least 71 people were injured in clashes in Venezuela and taken to a hospital in Caracas, according to the president of Salud Chacao Medical Center. Follow live updates: https://cnn.it/2JbUPLs","","","1"
"","CNN Breaking News","Apr 30, 2019","188","493","489","https://pbs.twimg.com/media/D5bseC0WsAMUiLE?format=jpg&name=small","Secretary of State Mike Pompeo says Venezuelan President Nicolas Maduro was preparing to leave his country, but was talked out of it by Russia https://cnn.it/2DFRNvo","","","1"
"","CNN Breaking News","Apr 30, 2019","144","670","682","https://pbs.twimg.com/media/D5bZyl6XoAMwfZs?format=jpg&name=small","CNN and BBC Global News have both been taken off the air by the Venezuelan government https://cnn.it/2ZOuSb4","","","1"
