"listing_value","tweets_Name","tweets_Date","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Text","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Nov 16, 2015","35","358","511","British PM David Cameron announces $3 billion defense spending boost to combat terrorism, invest in cyberdefenses. http://cnn.it/1NXzHog","","","","1"
"1","CNN Breaking News","Nov 16, 2015","81","706","981","Muslim leaders warn members of their community against joining ISIS in Paris. http://cnn.it/1MRWsVp","","","","1"
"1","CNN Breaking News","Nov 16, 2015","30","261","207","Suspected ringleader of Paris attacks, Abdelhamid Abaaoud, is believed to be ISIS’ link to operatives in Europe.","","","","1"
"1","Abdelhamid Abaaoud: Who is Paris attacks 'ringleader'? - CNN","","30","261","207","Suspected ringleader of Paris attacks, Abdelhamid Abaaoud, is believed to be ISIS’ link to operatives in Europe.","","","","1"
"1","A January police raid in Belgium uncovered links to the Paris attacks' suspected mastermind.","","30","261","207","Suspected ringleader of Paris attacks, Abdelhamid Abaaoud, is believed to be ISIS’ link to operatives in Europe.","","","","1"
"1","cnn.com","","30","261","207","Suspected ringleader of Paris attacks, Abdelhamid Abaaoud, is believed to be ISIS’ link to operatives in Europe.","","","","1"
"1","CNN Breaking News","Nov 16, 2015","56","645","533","Washington Metro police step up security in response to ISIS threat to strike the nation’s capital.","","","","1"
"1","Washington D.C. Metro police up security after Paris attacks - CNNPolitics","","56","645","533","Washington Metro police step up security in response to ISIS threat to strike the nation’s capital.","","","","1"
"1","Law enforcement officials across Washington are taking additional steps to protect the nation's capital and its infrastructure following the Islamic State's threat to strike Washington in the days...","","56","645","533","Washington Metro police step up security in response to ISIS threat to strike the nation’s capital.","","","","1"
"1","cnn.com","","56","645","533","Washington Metro police step up security in response to ISIS threat to strike the nation’s capital.","","","","1"
"1","CNN Breaking News","Nov 16, 2015","37","240","232","French official: ISIS chief likely approved Paris attacks, which were planned in Syria. http://cnn.it/1NVMQhQ","","","","1"
"1","CNN Breaking News","Nov 16, 2015","154","973","1.6K","French President wants to strip terrorists of citizenship, even if they were born in France. http://cnn.it/1NVMQhQ","","","","1"
"1","CNN Breaking News","Nov 16, 2015","13","342","375","French President to propose law extending country's state of emergency for 3 months. http://cnn.it/1NVMQhQ","","","","1"
"1","CNN Breaking News","Nov 16, 2015","73","433","461","French President: ""Syria has become the largest factory of terrorism the world has known."" http://cnn.it/1NVMQhQ","","","","1"
"1","CNN Breaking News","Nov 16, 2015","19","233","292","French President requests
@UN
Security Council meeting following Paris terror attacks. http://cnn.it/1NVMQhQ","","","","1"
"1","CNN Breaking News","Nov 16, 2015","175","355","600","Obama: Sending a large number of ground troops to fight ISIS would be a ""mistake."" http://CNN.it/go","","","","1"
"1","CNN Breaking News","Nov 16, 2015","44","890","722","""France is at war,"" French President declares during historic speech to parliament. http://cnn.it/1NVMQhQ","","","","1"
"1","CNN Breaking News","Nov 16, 2015","82","388","604","Obama on fight against ISIS: Goal is to ""ultimately destroy this barbaric terrorist organization."" http://CNN.it/go","","","","1"
"1","CNN Breaking News","Nov 16, 2015","20","90","168","Obama addresses G20 in Turkey. Watch live on
@CNNgo
http://CNN.it/go","","","","1"
"1","CNN Breaking News","Nov 16, 2015","14","207","236","BFMTV: French officials think at least 5 people directly involved in Paris attacks spent time in Syria. http://cnn.it/1NVMQhQ","","","","1"
"1","CNN Breaking News","Nov 16, 2015","64","686","655","23 people in custody, 104 under house arrest; weapons seized in connection with Paris attacks, France says. http://cnn.it/1LhxUnS","","","","1"
"1","CNN Breaking News","Nov 15, 2015","54","587","516","People were seen running in panic at Paris memorial; scene is now calm. Watch CNNgo. http://cnn.it/go","https://pbs.twimg.com/media/CT3vlgXWcAE4-yR?format=jpg&name=small","","","1"
"1","CNN Breaking News","Nov 15, 2015","21","283","272","Suspects in Paris attacks possibly at large; unclear if occupants of abandoned vehicle are apprehended, source says. http://cnn.it/1MfggVD","","","","1"
"1","CNN Breaking News","Nov 15, 2015","47","673","517","Two of the Paris attackers are identified as French citizens who lived in Belgium, Belgian official says. http://cnn.it/1X0p4BJ","","","","1"
"1","CNN Breaking News","Nov 15, 2015","34","483","516","5 arrested in Belgium raids connected to Paris attacks; those arrested were in contact with attackers, source says. http://cnn.it/1MfggVD","","","","1"
"1","CNN Breaking News","Nov 15, 2015","113","680","471","One Paris suicide bomber had Syrian passport, posed as refugee in Greece in early October, French senator tells CNN. http://cnn.it/1NU2iuD","","","","1"
"1","CNN Breaking News","Nov 15, 2015","21","295","262","3 Kalashnikov rifles found in car in Paris suburb believed to have been used by attackers, channel BFMTV reports. http://cnn.it/1NU2iuD","","","","1"
"1","CNN Breaking News","Nov 15, 2015","101","309","589","President Barack Obama said ""the skies have been darkened"" in the aftermath of a terrorist killing spree in Paris.","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://t.co/y8tYKWt4Fk?amp=1","1"
"1","Barack Obama, Vladimir Putin huddle in wake of Paris attacks - CNNPolitics","","101","309","589","President Barack Obama said ""the skies have been darkened"" in the aftermath of a terrorist killing spree in Paris.","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://t.co/y8tYKWt4Fk?amp=1","1"
"1","President Barack Obama vowed Sunday to renew U.S. efforts against ISIS, saying ""the skies have been darkened"" in the aftermath of a terrorist killing spree in Paris.","","101","309","589","President Barack Obama said ""the skies have been darkened"" in the aftermath of a terrorist killing spree in Paris.","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://t.co/y8tYKWt4Fk?amp=1","1"
"1","cnn.com","","101","309","589","President Barack Obama said ""the skies have been darkened"" in the aftermath of a terrorist killing spree in Paris.","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://pbs.twimg.com/card_img/1334866448624349189/EiJJuP67?format=jpg&name=small","https://t.co/y8tYKWt4Fk?amp=1","1"
"1","CNN Breaking News","Nov 15, 2015","34","269","359","Six relatives of a suspect in the Paris attacks have been detained, Paris prosecutor's spokeswoman says. http://cnn.it/1NU2iuD","","","","1"
"1","CNN Breaking News","Nov 15, 2015","98","969","1.3K","Ronda Rousey knocked out by Holly Holm in huge UFC upset.","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://t.co/pRqxFdfmEb?amp=1","1"
"1","Ronda Rousey hit with Lady Gaga criticism - CNN","","98","969","1.3K","Ronda Rousey knocked out by Holly Holm in huge UFC upset.","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://t.co/pRqxFdfmEb?amp=1","1"
"1","If being on the wrong end of arguably the biggest upset in UFC history wasn't painful enough, Ronda Rousey also suffered abuse from Lady Gaga.","","98","969","1.3K","Ronda Rousey knocked out by Holly Holm in huge UFC upset.","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://t.co/pRqxFdfmEb?amp=1","1"
"1","cnn.com","","98","969","1.3K","Ronda Rousey knocked out by Holly Holm in huge UFC upset.","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://pbs.twimg.com/card_img/1335855651298406402/2SNNBaDe?format=jpg&name=small","https://t.co/pRqxFdfmEb?amp=1","1"
"1","CNN Breaking News","Nov 15, 2015","77","917","523","Officials: At least 10 killed in France after high-speed train went off tracks & plunged into canal during test run.","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://t.co/t4meXJSM8j?amp=1","1"
"1","10 killed after high-speed TGV train derails in France - CNN","","77","917","523","Officials: At least 10 killed in France after high-speed train went off tracks & plunged into canal during test run.","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://t.co/t4meXJSM8j?amp=1","1"
"1","At least 10 people were killed in eastern France on Saturday after a high-speed train came off the tracks and plunged into a canal during a test run, authorities said.","","77","917","523","Officials: At least 10 killed in France after high-speed train went off tracks & plunged into canal during test run.","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://t.co/t4meXJSM8j?amp=1","1"
"1","cnn.com","","77","917","523","Officials: At least 10 killed in France after high-speed train went off tracks & plunged into canal during test run.","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://pbs.twimg.com/card_img/1334811897724612608/oiooSyB7?format=jpg&name=small","https://t.co/t4meXJSM8j?amp=1","1"
"1","CNN Breaking News","Nov 15, 2015","118","313","634","In contrast with President Obama, Hillary Clinton said in debate ISIS ""cannot be contained"" but must be ""defeated."" http://cnn.it/1QotnYw","","","","1"
"1","CNN Breaking News","Nov 15, 2015","33","471","517","Official: One of the suicide bombers involved in Paris attacks has been identified. http://cnn.it/1PsSt8s","","","","1"
