,tweets_Date,tweets_Text,tweets_Replies,tweets_Retweets,tweets_Likes,tweets_Images,tweets_imageURL,tweets_hrefURL,has_image,has_Link
0,Sep 30,initial reports suggest three rockets struck base us troops located iraq us defense official says reports us injuries damage far,96.0,306.0,424.0,,,,0,0
1,Sep 30,senate approved stopgap spending bill order avert government shutdown hours funding set expire,164.0,138.0,341.0,https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small,https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small,https://t.co/7cdxO2SXTI?amp=1,1,1
2,Sep 30,seven people shot funeral home milwaukee treated injuries local hospital police officials say,88.0,191.0,296.0,https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small,https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small,https://t.co/bu2k9SpEsB?amp=1,1,1
3,Sep 30,clare bronfman heiress seagram liquor fortune sentenced nearly seven years prison charges stemming involvement cultlike group nxivm,64.0,237.0,651.0,https://pbs.twimg.com/card_img/1319017376742924288/KIfXheRn?format=jpg&name=small,https://pbs.twimg.com/card_img/1319017376742924288/KIfXheRn?format=jpg&name=small,https://t.co/gKszpRqGoB?amp=1,1,1
4,Sep 30,trump plans participate next two presidential debates campaign says,491.0,155.0,510.0,https://pbs.twimg.com/media/EjL5B9oWoAILvGy?format=jpg&name=small,,,1,0
5,Sep 30,kentucky attorney general daniel camerons office says given noon friday release grand jury recordings breonna taylor case,156.0,399.0,1000.0,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://t.co/TTpt1GnqyE?amp=1,1,1
6,Sep 30,aftermath offtherails debate biden trump commission presidential debates says considering structural changes moving forward,525.0,417.0,1900.0,https://pbs.twimg.com/media/EjLlkOXWoAAYhUz?format=jpg&name=small,,,1,0
7,Sep 30,would say main done book appropriate essential done comey said russia investigation hearing senate judiciary committee today,133.0,264.0,768.0,https://pbs.twimg.com/card_img/1316503586327728133/4L39HJrA?format=jpg&name=small,https://pbs.twimg.com/card_img/1316503586327728133/4L39HJrA?format=jpg&name=small,https://t.co/JOqY5rh5zN?amp=1,1,1
8,Sep 30,nfl postpones sundays pittsburgh steelerstennessee titans game,35.0,137.0,221.0,https://pbs.twimg.com/media/EjLOnJWX0AAOf5X?format=jpg&name=small,,,1,0
9,Sep 30,kentucky attorney general daniel cameron asked oneweek delay release grand jury recordings breonna taylor case,581.0,700.0,699.0,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://t.co/uBqbV2VDBB?amp=1,1,1
10,Sep 30,bureau economic analysis publishes third look us gross domestic product broadest measure economy,34.0,62.0,259.0,https://pbs.twimg.com/media/EjKsN0VXsAEi8cH?format=jpg&name=small,,,1,0
11,Sep 30,serena williams pulled french open ahead scheduled second round match tsvetana pironkova,68.0,165.0,570.0,https://pbs.twimg.com/card_img/1316681645240586240/M_-C6hWI?format=jpg&name=small,https://pbs.twimg.com/card_img/1316681645240586240/M_-C6hWI?format=jpg&name=small,https://t.co/1TXE5N81XR?amp=1,1,1
12,Sep 30,president trump get first question joe biden hit debate stage follow live,123.0,104.0,369.0,https://pbs.twimg.com/media/EjH_a-YWAAIacO5?format=jpg&name=small,,,1,0
13,Sep 30,federal judge california blocked trump administration rule wouldve hiked naturalization fees 80 charged firsttime fee asylum applicants days regulation set take effect,98.0,730.0,2400.0,https://pbs.twimg.com/card_img/1318313155156676612/YQR7q3qq?format=jpg&name=small,https://pbs.twimg.com/card_img/1318313155156676612/YQR7q3qq?format=jpg&name=small,https://t.co/x3AAcWeYkN?amp=1,1,1
14,Sep 29,disney laying 28000 us workers coronavirus pandemic hammers theme park business,200.0,654.0,838.0,https://pbs.twimg.com/card_img/1318703278574751747/lus70eCS?format=jpg&name=small,https://pbs.twimg.com/card_img/1318703278574751747/lus70eCS?format=jpg&name=small,https://t.co/fniWJk7reS?amp=1,1,1
